hours,max_ff,time,inlet_T,outlet_T,block_1,Sn_block_1,bottom_right_T,mass_flow,SOC,power
5,2,54180.0,2673,2672.966790187692,2672.983619501765,2672.994304631018,2672.910362057399,0.4895396221031698,1.0094426016037137,4.0318647039196716
5,2,54360.0,2673,2672.968128151489,2672.9842893378227,2672.994547347536,2672.913845837754,0.4895396221031706,1.009443946555379,3.86942810359291
5,2,54540.0,2673,2672.9694134864003,2672.984932377204,2672.994780057596,2672.917197319653,0.4895396221031703,1.009445237294999,3.713380956644674
5,2,54720.0,2673,2672.9706482255706,2672.985549674355,2672.995003167632,2672.9204214070182,0.4895396221031696,1.009446475955772,3.5634764274338506
5,2,54900.0,2673,2672.9718343194627,2672.9861422431995,2672.9952170695788,2672.923522827347,0.4895396221031692,1.0094476645885737,3.419477718415689
5,2,55080.0,2673,2672.972973653313,2672.986711058281,2672.995422138363,2672.9265061378446,0.4895396221031703,1.0094488051650126,3.281155950889972
5,2,55260.0,2673,2672.974068036341,2672.9872570567168,2672.995618735439,2672.929375731219,0.4895396221031697,1.0094498995803487,3.1482914751100326
5,2,55440.0,2673,2672.9751192082826,2672.987781139193,2672.995807206093,2672.932135841425,0.4895396221031693,1.0094509496565007,3.020673076985015
5,2,55620.0,2673,2672.976128842041,2672.988284171493,2672.995987881169,2672.9347905491422,0.4895396221031695,1.0094519571448635,2.8980976563219043
5,2,55800.0,2673,2672.977098555917,2672.988766985583,2672.99616107678,2672.9373437871673,0.4895396221031698,1.009452923728817,2.780368741924865
5,2,55980.0,2673,2672.978029895078,2672.989230381365,2672.9963270998114,2672.939799345526,0.4895396221031703,1.009453851026366,2.667298741526722
5,2,56160.0,2673,2672.978924349009,2672.989675127635,2672.9964862435136,2672.942160876539,0.4895396221031708,1.0094547405928027,2.5587068229788064
5,2,56340.0,2673,2672.979783349253,2672.9901019634563,2672.9966387909562,2672.944431899645,0.4895396221031703,1.009455593923054,2.4544191885843634
5,2,56520.0,2673,2672.980608280178,2672.990511599121,2672.99678501276,2672.94661580618,0.4895396221031704,1.009456412453855,2.3542677680260145
5,2,56700.0,2673,2672.9814004706923,2672.990904717117,2672.9969251670777,2672.9487158638426,0.4895396221031704,1.0094571975658688,2.2580912240524778
5,2,56880.0,2673,2672.982161198711,2672.9912819731803,2672.9970595006826,2672.9507352210776,0.4895396221031697,1.0094579505858872,2.1657344103816247
5,2,57060.0,2673,2672.9828916874962,2672.991643997644,2672.997188252681,2672.95267691125,0.4895396221031699,1.0094586727890131,2.077048815801509
5,2,57240.0,2673,2672.9835931189114,2672.991991396193,2672.997311652261,2672.9545438567384,0.4895396221031706,1.0094593654006472,1.9918909552703101
5,2,57420.0,2673,2672.984266629098,2672.992324750983,2672.9974299209925,2672.956338872782,0.4895396221031706,1.0094600295982858,1.9101228945672615
5,2,57600.0,2673,2672.984913311105,2672.9926446213235,2672.9975432696287,2672.9580646712993,0.4895396221031699,1.0094606665133588,1.831611931129554
5,2,57780.0,2673,2672.9855342147102,2672.9929515447047,2672.9976519005622,2672.959723864537,0.4895396221031698,1.0094612772330127,1.7562306159150909
5,2,57960.0,2673,2672.9861303517428,2672.993246037254,2672.997756005545,2672.9613189686543,0.4895396221031695,1.00946186280179,1.683856106905346
5,2,58140.0,2673,2672.986702691941,2672.9935285950664,2672.9978557711265,2672.962852407124,0.4895396221031688,1.0094624242232821,1.6143706722247884
